jobid,title,employer,location,salary,description,tags,url,date,weeknum
113232,Software Engineer: iOS,Postmates Inc.,"San Francisco, CA","$120,000 - 170,000

                                / 
Provides Equity","Postmates runs the largest on-demand delivery platform in the country, we grow 5-10% week on week and…","[""ios"",""objective-c"",""swift""]",/jobs/113232/software-engineer-ios-postmates-inc,2016-07-25,30
121583,Care Coach - Spanish Bilingual,Health Dialog,"Bakersfield, CA",,"racking CodeCRCCHSPBKRSFDCA1162Job Description
Help others live well, as a Care Coach.

Are you serious…","[""cold-fusion""]",/jobs/121583/care-coach-spanish-bilingual-health-dialog,2016-07-25,30
121582,Drupal Developer,C4Media,"Sibiu, Romania",,You are an experienced Drupal developer and we need your help to add more features in an existing site…,"[""ubuntu-lamp"",""drupal""]",/jobs/121582/drupal-developer-c4media,2016-07-25,30
109825,Database Administrator - DevOps - SQL,Spot Trading LLC,"Chicago, IL",,"Summary
As Spot Trading continues to assert itself as a smart, technology-focused option trading firm,…","[""database"",""sql-server"",""nosql"",""cassandra"",""mongodb"",""sysadmin""]",/jobs/109825/database-administrator-devops-sql-spot-trading-llc,2016-07-25,30
105355,QA Engineer,TeleTracking Technologies,"Pittsburgh, PA",,The primary purpose of the Quality Assurance Engineer is to ensure the system meets the agreed upon…,"[""c#"",""asp.net"",""qa""]",/jobs/105355/qa-engineer-teletracking-technologies,2016-07-25,30
91911,Interactive Software Developer,Wild Blue Technologies,"De Pere, WI",,The position would suit a mid-to-high level programmer looking to create unique applications for both…,"[""unity3d"",""javascript"",""php"",""ios"",""c#""]",/jobs/91911/interactive-software-developer-wild-blue-technologies,2016-07-25,30
101423,Art Director,Simantel,"Peoria, IL",,"Stuff you'll do:

Design outstanding traditional and interactive brand products and services according…",[],/jobs/101423/art-director-simantel,2016-07-25,30
121580,Software Dev & Engineering - NLP,Comcast,"Washington, DC",,Comcast brings together the best in media and technology. We drive innovation to create the world's best…,"[""mysql"",""linux"",""search""]",/jobs/121580/software-dev-engineering-nlp-comcast,2016-07-25,30
121579,Sr Installation Technician,Comcast,"Naperville, IL",,"

Comcast brings together the best in media and technology. We drive innovation to create the world's…","[""database"",""networking"",""testing""]",/jobs/121579/sr-installation-technician-comcast,2016-07-25,30
121578,"ETS, Engineer 2",Comcast,"Centennial, CO",,Comcast brings together the best in media and technology. We drive innovation to create the world's best…,"[""input""]",/jobs/121578/ets-engineer-2-comcast,2016-07-25,30
121577,Manager of Billing Technology Operations,Comcast,"Dulles, VA",,Comcast's Technology & Product organization works at the intersection of media and technology. Our…,"[""background"",""excel""]",/jobs/121577/manager-of-billing-technology-operations-comcast,2016-07-25,30
114730,Software Developer,"Metron, Incorporated","Reston, VA",,"At Metron, we are seeking talented, experienced programmers to design and develop code, algorithms and…","[""python"",""ruby"",""scala"",""git"",""c++""]",/jobs/114730/software-developer-metron-incorporated,2016-07-25,30
121574,Front End Developer,Transparensee,"New York, NY",,We are looking for a highly skilled front-end developer with a keen visual sense to work on creating…,"[""reactjs"",""javascript"",""user-interface"",""ruby"",""sass""]",/jobs/121574/front-end-developer-transparensee,2016-07-25,30
112401,Front-End Developer,Closetbox Storage,"Denver, CO","$80,000 - 105,000

                                / 
Provides Equity","Closetbox, a fast-growing full-service storage service and technology company, is seeking a full-time…","[""javascript"",""angularjs"",""reactjs"",""backbone.js"",""frontend""]",/jobs/112401/front-end-developer-closetbox-storage,2016-07-25,30
114725,Web Analytics Specialist,Bethlehem Shared Services,"Bethlehem, PA",,"The ideal candidate is one that has a strong B2C web analytics background, is an articulate, technically…","[""coremetrics"",""webtrends"",""tealeaf""]",/jobs/114725/web-analytics-specialist-bethlehem-shared-services,2016-07-25,30
121573,Natural language processing for global health,Epidemico,"Boston, MA",,"We seek a Data Scientist at our Boston-based public health informatics company for a 5-6 month contract,…","[""scala"",""python"",""nlp"",""machine-learning"",""apache-spark""]",/jobs/121573/natural-language-processing-for-global-health-epidemico,2016-07-25,30
114723,Sr. Software Development Engineer - Big Data,Rubicon Project,"Los Angeles, CA","$120,000 - 170,000","Rubicon Project is looking for talented, passionate, experienced, and entrepreneurial engineers in Big…","[""hadoop"",""hbase"",""nosql"",""java""]",/jobs/114723/sr-software-development-engineer-big-data-rubicon-project,2016-07-25,30
